url,product_id,title,price,scraped,rating,timestamp
https://www.amazon.in/Test-Exclusive_2020_1113-Multi-3GB-Storage/dp/B089MS8XQ3/ref=zg_bs_electronics_36?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B089MS8XQ3,"Redmi 9 Power (Blazing Blue, 4GB RAM, 64GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Alexa Hands-Free Capable","₹11,499.00",1,"78,798 ratings",2021-09-25 19:08:10.365784
https://www.amazon.in/boAt-A325-Tangle-Free-Charging-Transmission/dp/B08WRBG3XW/ref=zg_bs_electronics_38?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08WRBG3XW,"boAt Type C A325 Tangle-Free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",₹199.00,1,"18,512 ratings",2021-09-25 19:08:23.252754
https://www.amazon.in/20000mAh-Sandstone-Triple-Charging-Delivery/dp/B08HV83HL3/ref=zg_bs_electronics_12?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08HV83HL3,Mi Power Bank 3i 20000mAh | 18W Fast PD Charging | Input- Type C and Micro USB| Triple Output | Sandstone Black,"₹1,699.00",1,"76,190 ratings",2021-09-25 19:08:28.702696
https://www.amazon.in/GM-Modular-3060-Book-Multicolour/dp/B008XT42JU/ref=zg_bs_electronics_49?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B008XT42JU,"GM 3060 E-Book 4 + 1 Power Strip with Master Switch, Indicator, Safety Shutter & 4 international sockets",₹472.00,1,"30,411 ratings",2021-09-25 19:08:35.441270
https://www.amazon.in/Redmi-Storage-Super-Amoled-Display/dp/B0948NNY3W/ref=zg_bs_electronics_34?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B0948NNY3W,"Redmi Note 10S (Deep Sea Blue, 6GB RAM, 64GB Storage) -Super Amoled Display | 64 MP Quad Camera | Alexa Built in",,1,"15,863 ratings",2021-09-25 19:08:43.815975
https://www.amazon.in/MI-MTCY001IN-USB-Type-C-Cable/dp/B08DDRGWTJ/ref=zg_bs_electronics_22?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08DDRGWTJ,Mi USB Type-C Cable,₹199.00,1,"13,062 ratings",2021-09-25 19:08:49.303660
https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Reverb/dp/B08HLTFB33/ref=zg_bs_electronics_7?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B08HLTFB33,OnePlus Bullets in Ear Wireless Z Bass Edition with Mic (Reverb Red),"₹1,999.00",1,"109,376 ratings",2021-09-25 19:08:56.738052
https://www.amazon.in/Redmi-Carbon-Black-64GB-Storage/dp/B086985T6R/ref=zg_bs_electronics_27?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B086985T6R,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor",,1,"95,309 ratings",2021-09-25 19:09:04.625177
https://www.amazon.in/boAt-Rockerz-245v2-Bluetooth-Resistance/dp/B097DW69H1/ref=zg_bs_electronics_32?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B097DW69H1,"boAt Rockerz 245v2 Wireless Bluetooth V5.0, 8 Hours Playback Time, IPX5 Sweat and Water Resistance, in-Built mic and Voice Assistant(Ocean Blue), One Size",₹899.00,1,"18,738 ratings",2021-09-25 19:09:10.346390
https://www.amazon.in/SanDisk-Cruzer-Blade-Flash-Drive/dp/B005FYNT3G/ref=zg_bs_electronics_25?_encoding=UTF8&psc=1&refRID=01BRWPEF77PW5H9TBZPV,B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,₹379.00,1,"177,296 ratings",2021-09-25 19:09:16.003002
