Rank,Release Group,Worldwide,Domestic,Foreign,filename,year,Domestic %,Foreign %
175,Mission: Impossible II,546388108,215409889,330978219,2000.csv,2000,0.3942433699527004,0.6057566300472996
176,Detective Chinatown 2,544185156,1983984,542201172,2018.csv,2018,0.0036457885301083076,0.9963542114698917
177,X-Men: Apocalypse,543934105,155442489,388491616,2016.csv,2016,0.285774485495812,0.7142255145041879
178,Sherlock Holmes: A Game of Shadows,543848418,186848418,357000000,2011.csv,2011,0.3435670893134785,0.6564329106865214
179,Despicable Me,543113985,251513985,291600000,2010.csv,2010,0.4630961307321151,0.5369038692678849
180,Cinderella,542351353,201151353,341200000,2015.csv,2015,0.3708875286976559,0.6291124713023442
181,Madagascar,542063846,193595521,348468325,2005.csv,2005,0.35714523746341126,0.6428547625365887
182,World War Z,540007876,202359711,337648165,2013.csv,2013,0.37473473997997764,0.6252652600200224
183,Brave,538983207,237283207,301700000,2012.csv,2012,0.4402423005360907,0.5597576994639093
184,The Simpsons Movie,536414270,183135014,353279256,2007.csv,2007,0.34140593239624295,0.658594067603757
185,The Revenant,532950503,183637894,349312609,2015.csv,2015,0.34456838480552104,0.6554316151944789
186,The Meg,530243742,145443742,384800000,2018.csv,2018,0.2742960085703378,0.7257039914296621
187,Ralph Breaks the Internet,529323962,201091711,328232251,2018.csv,2018,0.3799029052835511,0.6200970947164489
188,"Monsters, Inc.",528773250,255873250,272900000,2001.csv,2001,0.48389976232723575,0.5161002376727643
189,Hotel Transylvania 3: Summer Vacation,528583774,167510016,361073758,2018.csv,2018,0.31690343941583043,0.6830965605841696
190,The Boss Baby,527965936,175003033,352962903,2017.csv,2017,0.331466522870521,0.6685334771294791
191,Dunkirk,525245546,188045546,337200000,2017.csv,2017,0.3580145465907482,0.6419854534092517
192,Godzilla,524976069,200676069,324300000,2014.csv,2014,0.38225755582013016,0.6177424441798699
193,Sherlock Holmes,524028679,209028679,315000000,2009.csv,2009,0.39888786125005193,0.6011121387499481
194,Meet the Fockers,522657936,279261160,243396776,2004.csv,2004,0.5343096139269183,0.46569038607308166
195,How to Train Your Dragon: The Hidden World,521799505,160799505,361000000,2019.csv,2019,0.3081633912243746,0.6918366087756255
196,WALL·E,521311860,223808164,297503696,2008.csv,2008,0.4293172305728859,0.5706827694271142
197,Kung Fu Panda 3,521170825,143528619,377642206,2016.csv,2016,0.2753964959569638,0.7246035040430362
198,Ant-Man,519311965,180202163,339109802,2015.csv,2015,0.3470017545234106,0.6529982454765894
199,The Grinch,511595957,270620950,240975007,2018.csv,2018,0.5289739809261237,0.4710260190738763
200,Rio 2,498781117,131538435,367242682,2014.csv,2014,0.2637197570572825,0.7362802429427175
201,Troy,497409852,133378256,364031596,2004.csv,2004,0.268145585504004,0.731854414495996
202,How to Train Your Dragon,494878759,217581231,277297528,2010.csv,2010,0.4396657303289107,0.5603342696710892
203,Oz the Great and Powerful,493311825,234911825,258400000,2013.csv,2013,0.47619337930932426,0.5238066206906757
204,Clash of the Titans,493214993,163214888,330000105,2010.csv,2010,0.33092037005452507,0.6690796299454749
205,Maleficent: Mistress of Evil,491730089,113929605,377800484,2019.csv,2019,0.23169134358178353,0.7683086564182164
206,War for the Planet of the Apes,490719763,146880162,343839601,2017.csv,2017,0.2993157665019495,0.7006842334980505
207,Mr. & Mrs. Smith,487287646,186336279,300951367,2005.csv,2005,0.38239483502112015,0.6176051649788799
208,Angels & Demons,485930816,133375846,352554970,2009.csv,2009,0.2744749697043293,0.7255250302956707
209,Teenage Mutant Ninja Turtles,485004754,191204754,293800000,2014.csv,2014,0.39423274189184543,0.6057672581081546
210,Bruce Almighty,484592874,242829261,241763613,2003.csv,2003,0.5010995291688916,0.49890047083110844
211,Shrek,484409218,267665011,216744207,2001.csv,2001,0.5525596975737155,0.4474403024262845
212,Rio,483866518,143619809,340246709,2011.csv,2011,0.29681700150205476,0.7031829984979453
213,Rise of the Planet of the Apes,481800873,176760185,305040688,2011.csv,2011,0.3668739408863628,0.6331260591136372
214,Charlie and the Chocolate Factory,474968763,206459076,268509687,2005.csv,2005,0.43467927173981336,0.5653207282601866
215,Hotel Transylvania 2,474800000,169700110,305099890,2015.csv,2015,0.3574138795282224,0.6425861204717775
216,San Andreas,473990832,155190832,318800000,2015.csv,2015,0.32741315131597315,0.6725868486840269
217,It Chapter Two,473093228,211593228,261500000,2019.csv,2019,0.44725482310222375,0.5527451768977762
218,Wreck-It Ralph,471222889,189422889,281800000,2012.csv,2012,0.40198151113156133,0.5980184888684387
219,The Hangover,468812793,277322503,191490290,2009.csv,2009,0.5915420977003928,0.40845790229960727
220,The Lego Movie,468060692,257760692,210300000,2014.csv,2014,0.5506992926464331,0.44930070735356686
221,Bumblebee,467989645,127195589,340794056,2018.csv,2018,0.2717914602576303,0.7282085397423698
222,Godzilla vs. Kong,467863133,100563133,367300000,2021.csv,2021,0.21494134909749343,0.7850586509025066
223,Star Trek Into Darkness,467365246,228778661,238586585,2013.csv,2013,0.4895072172311246,0.5104927827688753
224,Cars,461983149,244082982,217900167,2006.csv,2006,0.5283374134496841,0.47166258655031595
225,The Eight Hundred,461421559,372755,461048804,2020.csv,2020,0.0008078404502985089,0.9991921595497015
226,Gladiator,460583960,187705427,272878533,2000.csv,2000,0.4075379155626696,0.5924620844373304
227,X-Men: The Last Stand,460435291,234362462,226072829,2006.csv,2006,0.5090019522417538,0.49099804775824624
228,National Treasure: Book of Secrets,459242249,219964115,239278134,2007.csv,2007,0.47897186175481865,0.5210281382451813
229,Lucy,458863600,126663600,332200000,2014.csv,2014,0.27603758502526676,0.7239624149747332
230,300,456068181,210614939,245453242,2007.csv,2007,0.4618058171438187,0.5381941828561814
231,The Last Samurai,454627263,111127263,343500000,2003.csv,2003,0.24443598535356645,0.7555640146464335
232,Demon Slayer: Mugen Train,452974619,47700000,405274619,2020.csv,2020,0.10530391328614375,0.8946960867138563
233,Dying to Survive,451176639,0,451176639,2018.csv,2018,0.0,1.0
234,Ocean's Eleven,450717150,183417150,267300000,2001.csv,2001,0.4069451317749946,0.5930548682250054
235,"My People, My Country",450064993,2356683,447708310,2019.csv,2019,0.005236317057878794,0.9947636829421213
236,Thor,449326618,181030624,268295994,2011.csv,2011,0.40289316668081304,0.597106833319187
237,Pearl Harbor,449220945,198542554,250678391,2001.csv,2001,0.44197083018914,0.55802916981086
238,La La Land,447407695,151101803,296305892,2016.csv,2016,0.3377273227274287,0.6622726772725712
239,The Bourne Ultimatum,444100035,227471070,216628965,2007.csv,2007,0.5122068274549899,0.48779317254501003
240,Alvin and the Chipmunks: The Squeakquel,443140005,219614612,223525393,2009.csv,2009,0.4955874205038202,0.5044125794961798
241,Men in Black II,441818803,190418803,251400000,2002.csv,2002,0.43098845433248795,0.569011545667512
242,Les Misérables,441809770,148809770,293000000,2012.csv,2012,0.33681864934765926,0.6631813506523407
243,Terminator Genisys,440603537,89760956,350842581,2015.csv,2015,0.20372273134974855,0.7962772686502514
244,Warcraft,439048914,47365290,391683624,2016.csv,2016,0.10788157877097038,0.8921184212290296
245,A Star Is Born,436188866,215288866,220900000,2018.csv,2018,0.4935679995096436,0.5064320004903564
246,The Greatest Showman,434993183,174340174,260653009,2017.csv,2017,0.4007882900546513,0.5992117099453488
247,Terminator 3: Rise of the Machines,433371112,150371112,283000000,2003.csv,2003,0.34698000821060726,0.6530199917893927
248,The Mummy Returns,433013274,202019785,230993489,2001.csv,2001,0.46654409259518453,0.5334559074048155
249,Pokémon Detective Pikachu,433005346,144105346,288900000,2019.csv,2019,0.3328026947731957,0.6671973052268043
250,Die Another Day,431971116,160942139,271028977,2002.csv,2002,0.37257615854111875,0.6274238414588812
251,The Secret Life of Pets 2,430051293,158874395,271176898,2019.csv,2019,0.36943126921374003,0.63056873078626
